fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,2,17,6,6036
2020,2,17,9,14476
2020,2,17,10,10108
2020,2,17,11,10236
2020,2,17,12,11707
2020,2,17,13,11361
2020,2,17,14,12075
2020,2,17,15,16276
2020,2,17,16,19975
2020,2,17,19,18339
2020,2,17,20,9269
2020,2,17,21,6521
2020,2,17,22,4783
2020,2,17,23,2518
2020,2,18,0,73
2020,2,18,1,3
2020,2,18,2,6
2020,2,18,3,1
2020,2,18,4,1
2020,2,18,5,500
2020,2,18,6,6099
2020,2,18,9,16675
2020,2,18,10,11452
2020,2,18,11,11572
2020,2,18,12,13243
2020,2,18,13,12809
2020,2,18,14,13246
2020,2,18,15,17587
2020,2,18,16,21062
2020,2,18,19,19673
2020,2,18,20,10177
2020,2,18,21,7346
2020,2,18,22,5740
2020,2,18,23,2977
2020,2,19,0,91
2020,2,19,1,16
2020,2,19,2,8
2020,2,19,3,6
2020,2,19,4,3
2020,2,19,5,503
2020,2,19,6,5980
2020,2,19,9,15828
2020,2,19,10,10730
2020,2,19,11,10882
2020,2,19,12,13247
2020,2,19,13,12748
2020,2,19,14,13161
2020,2,19,15,17527
2020,2,19,16,21910
2020,2,19,19,19121
2020,2,19,20,9616
2020,2,19,21,7304
2020,2,19,22,5571
2020,2,19,23,3045
2020,2,20,0,78
2020,2,20,1,4
2020,2,20,2,2
2020,2,20,5,452
2020,2,20,6,5453
2020,2,20,7,22706
2020,2,20,9,15168
2020,2,20,10,10406
2020,2,20,11,10332
2020,2,20,12,11755
2020,2,20,13,11878
2020,2,20,14,11496
2020,2,20,15,16304
2020,2,20,16,19784
2020,2,20,19,17353
2020,2,20,20,8840
2020,2,20,21,6172
2020,2,20,22,5322
2020,2,20,23,3161
2020,2,21,0,111
2020,2,21,1,1
2020,2,21,3,3
2020,2,21,4,3
2020,2,21,5,452
2020,2,21,6,5564
2020,2,21,7,21979
2020,2,21,9,14958
2020,2,21,10,9877
2020,2,21,11,10265
2020,2,21,12,12598
2020,2,21,13,11675
2020,2,21,14,12737
2020,2,21,15,16638
2020,2,21,16,20717
2020,2,21,19,20989
2020,2,21,20,10863
2020,2,21,21,7449
2020,2,21,22,6201
2020,2,21,23,4145
2020,2,22,0,1753
2020,2,22,1,1047
2020,2,22,2,572
2020,2,22,3,344
2020,2,22,4,193
2020,2,22,5,387
2020,2,22,6,2533
2020,2,22,7,6720
2020,2,22,8,10513
2020,2,22,9,8934
2020,2,22,10,8052
2020,2,22,11,9743
2020,2,22,12,14256
2020,2,22,13,17074
2020,2,22,14,18012
2020,2,22,15,17365
2020,2,22,16,18398
2020,2,22,17,20138
2020,2,22,18,21251
2020,2,22,19,17043
2020,2,22,20,10585
2020,2,22,21,7439
2020,2,22,22,7748
2020,2,22,23,5460
2020,2,23,0,2141
2020,2,23,1,1290
2020,2,23,2,714
2020,2,23,3,413
2020,2,23,4,301
2020,2,23,5,343
